broadcast_id,event_date,sport,network,country,duration_minutes,live_viewers,peak_viewers,ad_revenue_usd,stream_quality
18,2025-01-01,Football,Arena TV,UK,90,2769218,2849421,122406.08,4K
59,2025-01-03,Cricket,Prime Sports,Canada,150,944119,967825,60885.69,HD
87,2025-01-08,Football,SportsNet,Canada,120,4530649,6110525,85451.7,HD
3,2025-01-14,Baseball,Global Sports,USA,150,4758064,6159945,113806.4,HD
71,2025-01-27,Football,SportsNet,India,90,2985680,3283293,76718.69,HD
26,2025-01-28,Basketball,SportsNet,USA,90,875588,958860,12470.9,Full HD
22,2025-02-02,Baseball,Prime Sports,Canada,90,2886067,2896443,33110.11,4K
76,2025-02-05,Football,Global Sports,Australia,60,4294306,5225147,237595.48,Full HD
36,2025-02-07,Basketball,Prime Sports,UK,60,4560004,6564741,113638.96,Full HD
19,2025-02-10,Football,Star Play,USA,90,768513,1022026,47058.77,4K
6,2025-02-10,Baseball,Arena TV,Canada,90,4680852,6329850,142871.21,HD
40,2025-02-17,Football,SportsNet,UK,90,3603211,4751037,245214.24,Full HD
28,2025-02-20,Baseball,SportsNet,India,90,474365,513811,26398.48,Full HD
35,2025-03-09,Football,SportsNet,Australia,180,2566557,3847852,107810.07,HD
69,2025-03-11,Basketball,Global Sports,UK,90,3923007,4814901,89134.77,Full HD
42,2025-03-18,Basketball,Star Play,Canada,90,4626743,5620999,57935.94,HD
32,2025-03-22,Football,Prime Sports,India,180,527140,545052,40723.95,HD
93,2025-03-22,Football,Prime Sports,India,150,2062134,2526633,45711.22,4K
4,2025-03-23,Cricket,Prime Sports,UK,60,3595146,3761863,121578.98,HD
20,2025-03-26,Baseball,Global Sports,USA,180,2273456,3131987,106709.58,4K
56,2025-03-28,Baseball,Arena TV,India,90,761316,1017421,22736.74,HD
49,2025-04-02,Basketball,SportsNet,India,180,4920339,5989439,380723.05,4K
85,2025-04-09,Baseball,Prime Sports,USA,90,2697008,3693019,49540.89,Full HD
57,2025-04-12,Cricket,Global Sports,Canada,60,1286094,1578948,15059.87,4K
21,2025-04-13,Basketball,Global Sports,Canada,150,2664865,2826094,101076.89,HD
67,2025-04-23,Football,Global Sports,UK,150,2339547,3186675,94771.58,Full HD
9,2025-05-06,Basketball,Star Play,USA,120,1420719,2019446,60179.12,HD
96,2025-05-17,Cricket,Arena TV,Canada,180,1243164,1815760,18645.83,Full HD
39,2025-05-20,Basketball,Prime Sports,UK,180,2413542,3003088,126320.17,HD
81,2025-05-22,Cricket,SportsNet,USA,150,4712313,5863478,50471.6,HD
37,2025-05-26,Baseball,Arena TV,Canada,180,1373276,1378647,55855.15,4K
63,2025-05-27,Basketball,Star Play,India,90,2017074,2169192,58535.6,Full HD
17,2025-06-02,Cricket,Arena TV,USA,180,4308584,6362700,226751.79,4K
38,2025-06-03,Cricket,Arena TV,India,60,918946,1260066,69587.28,HD
92,2025-06-06,Baseball,SportsNet,USA,90,4820009,5457807,257735.1,HD
